Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword:  (Latency: 31.533s, Tokens: [P:3277, C:154, T:3431])
Q: 붙였다 떼도 자국 안 남는 거 뭐 있어요? -> Keyword: ** 방수파우치 (Latency: 27.358s, Tokens: [P:3278, C:122, T:3400])
Q: 열 받아도 안 녹는 거 있어요? -> Keyword: 내열유리용기 (Latency: 20.633s, Tokens: [P:3272, C:626, T:3898])
Q: 떨어뜨려도 잘 안 깨지는 거 있나요? -> Keyword:  (Latency: 411.189s, Tokens: [P:3276, C:20511, T:23787])
Q: 미끄러운 데 붙이면 안 미끄럽게 되는 거 있어요? -> Keyword: ** 자동디스펜서 (Latency: 4.728s, Tokens: [P:3281, C:78, T:3359])
Q: 얇은데 튼튼한 거 있어요? -> Keyword: ** 밀폐유리용기 (Latency: 35.450s, Tokens: [P:3274, C:200, T:3474])
Q: 손에 안 미끄러지고 잘 잡히는 거 있어요? -> Keyword: <One Standard Keyword> (Latency: 38.202s, Tokens: [P:3278, C:1372, T:4650])
Q: 가볍고 접히는 거 뭐 있어요? -> Keyword: <One Standard Keyword> (Latency: 78.537s, Tokens: [P:3274, C:1411, T:4685])
Q: 물 안 새는 거 있어요? -> Keyword: **自動 디스펜서 (Latency: 28.160s, Tokens: [P:3270, C:148, T:3418])
Q: 냄새 오래 잡아주는 거 있어요? -> Keyword: <One Standard Keyword> (Latency: 54.103s, Tokens: [P:3274, C:1567, T:4841])
Q: 세척하기 쉬운 거 뭐 있어요? -> Keyword: 대용도매트 (Latency: 15.449s, Tokens: [P:3272, C:150, T:3422])
Q: 금방 마르는 재질 있어요? -> Keyword: 自动디스펜서 (Latency: 17.298s, Tokens: [P:3271, C:40, T:3311])
Q: 소리 덜 나게 하는 거 있어요? -> Keyword: ** 자동디스펜서 (Latency: 27.332s, Tokens: [P:3273, C:51, T:3324])
Q: 애가 물어도 괜찮은 재질 있어요? -> Keyword:  (Latency: 24.829s, Tokens: [P:3276, C:102, T:3378])
Q: 열기 차단해주는 거 있어요? -> Keyword:  (Latency: 32.730s, Tokens: [P:3272, C:394, T:3666])
Q: 잘 안 엉키게 하는 거 있어요? -> Keyword:  (Latency: 31.566s, Tokens: [P:3274, C:87, T:3361])
Q: 바닥 긁힘 막아주는 거 있어요? -> Keyword: 욕실용기 (Latency: 25.312s, Tokens: [P:3275, C:1094, T:4369])
Q: 손 안 더러워지게 쓰는 거 있어요? -> Keyword: 가성비용기구 (Latency: 35.753s, Tokens: [P:3275, C:814, T:4089])
Q: 여름에 시원한 촉감 나는 거 있어요? -> Keyword: 식기 (Latency: 58.791s, Tokens: [P:3276, C:67, T:3343])
Q: 겨울에 따뜻한 촉감 나는 거 있어요? -> Keyword: thermalcomfort (Latency: 47.459s, Tokens: [P:3277, C:541, T:3818])
Q: 물 흡수 잘 되는 거 있어요? -> Keyword: 물 흡수대 (Latency: 30.336s, Tokens: [P:3272, C:57, T:3329])
Q: 물 튀는 거 막아주는 거 있어요? -> Keyword: ** 배수구망 (Latency: 33.491s, Tokens: [P:3274, C:181, T:3455])
Q: 눌러도 안 찌그러지는 거 있어요? -> Keyword:  (Latency: 89.913s, Tokens: [P:3275, C:2008, T:5283])
Q: 공간 적게 차지하는 거 있어요? -> Keyword:  (Latency: 8.265s, Tokens: [P:3273, C:23, T:3296])
Q: 고정 잘 되는 거 있어요? -> Keyword: <One Standard Keyword> (Latency: 34.928s, Tokens: [P:3270, C:1374, T:4644])
Q: 한 손으로 쓰기 편한 거 있어요? -> Keyword: ** automatidi스펜서 (Latency: 55.500s, Tokens: [P:3273, C:1408, T:4681])
Q: 뚜껑이 잘 안 열리는 거 있어요? -> Keyword: 지똥 제거제 (Latency: 64.890s, Tokens: [P:3275, C:800, T:4075])
Q: 아이가 혼자 써도 안전한 거 있어요? -> Keyword: <One Standard Keyword> (Latency: 48.861s, Tokens: [P:3275, C:1324, T:4599])
Q: 투명해서 안에 보이는 거 있어요? -> Keyword:  (Latency: 21.801s, Tokens: [P:3273, C:525, T:3798])
Q: 걸어두면 공간 아끼는 거 있어요? -> Keyword:  (Latency: 7.466s, Tokens: [P:3274, C:25, T:3299])
Q: 자석으로 붙는 거 있어요? -> Keyword: 소파 (Latency: 37.889s, Tokens: [P:3271, C:1111, T:4382])
Q: 물에 담가도 되는 거 있어요? -> Keyword:  (Latency: 20.810s, Tokens: [P:3272, C:538, T:3810])
Q: 기름 안 튀게 하는 거 있어요? -> Keyword: 自動ディスペンサ (Latency: 47.873s, Tokens: [P:3273, C:969, T:4242])
Q: 손잡이 안 뜨거워지는 거 있어요? -> Keyword: <One Standard Keyword> (Latency: 46.062s, Tokens: [P:3275, C:502, T:3777])
Q: 냄새 배는 거 막는 거 있어요? -> Keyword:  (Latency: 37.221s, Tokens: [P:3274, C:224, T:3498])
Q: 부드러운 촉감 나는 거 있어요? -> Keyword: **Soft Touch** (Latency: 14.315s, Tokens: [P:3273, C:123, T:3396])
Q: 튀어나온 데 보호하는 거 있어요? -> Keyword: ** 안전/보호형 (Latency: 35.507s, Tokens: [P:3273, C:503, T:3776])
Q: 자주 안 더러워지는 거 있어요? -> Keyword: 어치기 (Latency: 10.355s, Tokens: [P:3273, C:50, T:3323])
Q: 쉽게 찢어지지 않는 거 있어요? -> Keyword: ** 방수파우치 (Latency: 9.419s, Tokens: [P:3275, C:153, T:3428])
Q: 끈적임 없이 고정되는 거 있어요? -> Keyword: 고정기 (Latency: 38.951s, Tokens: [P:3274, C:72, T:3346])
Q: 접착 말고 다른 방식으로 고정되는 거 있어요? -> Keyword: ** 방수파우치 (Latency: 43.658s, Tokens: [P:3277, C:86, T:3363])
Q: 손에 힘 안 줘도 되는 거 있어요? -> Keyword: 수세미 (Latency: 9.750s, Tokens: [P:3274, C:70, T:3344])
