Status,Question,Intention,Keyword,Note
MATCH,집에서 쓰는 건데 뭐 하나 없을까요?,생활용 다용도 소품 추천 / 수납용품 추천,생활용품,"MATCH | The extracted keyword ""생활용품"" (household goods) is a broad term that can encompass many everyday items used in the home. This aligns well with the user's intention of finding ""생활용 다용도 소품"" (multi-purpose household items) or ""수납용품"" (storage items). While not perfectly specific, it's a reasonable starting point for a search."
MATCH,이거 좀 안 흘리게 하는 거 있어요?,밀폐용기 / 컵뚜껑 / 흘림방지 마개 구매,컵,"MATCH | 컵 is a type of container, and the intention includes buying items that prevent spilling, which could include cup lids or other items related to cups."
MISMATCH,그… 여기 어디에 그런 거 있죠?,매장 위치 안내 요청 / 특정 소품 탐색,물건,"MISMATCH | The extracted keyword ""물건"" (meaning ""thing"" or ""object"") is too broad and vague to fulfill the target intention of finding a specific store location or specific items. It doesn't help narrow down the search or guide the user towards their desired outcome."
MATCH,자취하면 하나쯤 있어야 하는 거 뭐 있어요?,자취 필수템(수납함·청소도구·주방소품) 추천,자취 용품,"MATCH | ""자취 용품"" is a broad term that encompasses essential items needed for living alone (자취), making it a reasonable search term to find ""자취 필수템""."
MATCH,이거 계속 넘어져서 짜증 나는데 붙이는 거 없나요?,미끄럼 방지 패드 / 논슬립 패치 구매,미끄럼 방지 패드,"MATCH | The extracted keyword ""미끄럼 방지 패드"" (anti-slip pad) directly addresses the user's problem of constantly falling and wanting something to stick and prevent that, aligning well with the intention of buying anti-slip pads or patches."
MATCH,애가 자꾸 만져서 위험한데 막는 거 있어요?,안전가드 / 콘센트 커버 / 문손잡이 보호대 구매,안전 가드,"MATCH | ""안전 가드"" (safety guard) is a broad term that encompasses safety gates, edge protectors, and other similar items used to prevent children from accessing dangerous areas or objects. It is a reasonable search term for fulfilling the intention of finding items to protect a child from touching things that are dangerous."
MATCH,물기 닦는 거 말고 다른 방법 없어요?,흡수 매트 / 물기 제거 패드 구매,물기 닦는 거,"MATCH | The keyword ""물기 닦는 거"" (wiping moisture) directly relates to the intention of finding absorbent mats or pads for water removal. It describes the action the user wants to avoid, implying they are looking for alternatives for removing water, which aligns with the product intention."
MATCH,가방 안에서 이거저거 안 섞이게 하는 거 있나요?,파우치 / 가방 정리 인서트 구매,가방정리함,"MATCH | ""가방정리함"" is a reasonable search term to find ""파우치 / 가방 정리 인서트 구매"" as it directly addresses the need to organize items within a bag."
MATCH,여름에 쓰는 건데 겨울엔 안 쓰는 거요,계절용품(선풍기·쿨방석·모기용품) 탐색,선풍기,"MATCH | 선풍기는 여름에 주로 사용하고 겨울에는 사용하지 않는 대표적인 계절용품이므로, 의도에 부합하는 검색어입니다."
MISMATCH,이거 좀 더 편하게 쓰는 방법 없어요?,보조도구 / 인체공학 소품 추천,방법,"MISMATCH | The keyword ""방법"" (method) is too broad and doesn't directly relate to recommending assistive tools or ergonomic items. While it implies a search for a solution, it doesn't specify the type of solution related to ergonomics or assistance."
MATCH,집에 있으면 은근히 유용한 거 뭐 있어요?,생활 편의용품 추천,생활용품,"MATCH | ""생활용품"" is a broad term that includes ""생활 편의용품"", making it a reasonable search term to fulfill the intention."
MATCH,이거 자꾸 떨어지는데 고정하는 거 있나요?,양면테이프 / 고정 패드 구매,고정하는 거,"MATCH | ""고정하는 거"" directly relates to the user's need to fix something that keeps falling, aligning with the intention of finding products like double-sided tape or adhesive pads for fixation."
MATCH,씻고 나와서 바닥 안 미끄럽게 하는 거 있어요?,욕실 미끄럼 방지 매트 구매,미끄럼 방지 매트,"MATCH | ""미끄럼 방지 매트"" is a good search term for finding a mat that prevents slipping in the bathroom, thus fulfilling the intention of buying a ""욕실 미끄럼 방지 매트""."
MATCH,차 안에 두면 좋은 거 뭐 있어요?,차량용 방향제 / 차량 정리용품 추천,방향제,MATCH | 방향제는 차량용 방향제 추천이라는 의도를 충족시키는 데 도움이 되는 키워드입니다.
MATCH,여행 갈 때 하나쯤 사두면 좋은 거 있어요?,여행용 파우치 / 목베개 / 수면안대 추천,여행용품,"MATCH | ""여행용품"" is a broad category that can include travel pouches, neck pillows, and sleep masks, making it a reasonable search term for the user's intention."
