Status,Question,Intention,Keyword,Note
MATCH,집에서 쓰는 건데 뭐 하나 없을까요?,생활용 다용도 소품 추천 / 수납용품 추천,가정용품,"MATCH | The extracted keyword ""가정용품"" (household items) is relevant as it encompasses a wide range of products that can include 생활용 다용도 소품 (multi-purpose living items) and 수납용품 (storage items), aligning well with the user's intention for recommendations."
MISMATCH,이거 좀 안 흘리게 하는 거 있어요?,밀폐용기 / 컵뚜껑 / 흘림방지 마개 구매,방수 제품,"MISMATCH | The extracted keyword ""방수 제품"" (waterproof product) does not specifically address the user's intention of finding a container or lid that prevents spilling. The intention is focused on specific items like ""밀폐용기"" (sealed container), ""컵뚜껑"" (cup lid), or ""흘림방지 마개"" (spill-proof stopper), which are more relevant to the user's request."
MISMATCH,그… 여기 어디에 그런 거 있죠?,매장 위치 안내 요청 / 특정 소품 탐색,제품,"MISMATCH | The extracted keyword ""제품"" (product) is too general and does not specifically address the user's request for the location of a specific item or store. The user's intention is to inquire about the location of a particular item, which is not captured by the broad term ""제품."""
MATCH,자취하면 하나쯤 있어야 하는 거 뭐 있어요?,자취 필수템(수납함·청소도구·주방소품) 추천,주방용품,"MATCH | The extracted keyword ""주방용품"" (kitchen supplies) is relevant to the target intention of recommending essential items for living alone, as it falls under the category of kitchen items that are typically considered necessary for a household."
MISMATCH,이거 계속 넘어져서 짜증 나는데 붙이는 거 없나요?,미끄럼 방지 패드 / 논슬립 패치 구매,붙이는 것,"MISMATCH | The extracted keyword ""붙이는 것"" (something to stick) is too vague and does not specifically refer to the desired product of ""미끄럼 방지 패드"" (anti-slip pads) or ""논슬립 패치"" (non-slip patches). It does not directly indicate the intention to find a specific solution for preventing slipping."
MISMATCH,애가 자꾸 만져서 위험한데 막는 거 있어요?,안전가드 / 콘센트 커버 / 문손잡이 보호대 구매,막이,"MISMATCH | The extracted keyword ""막이"" does not directly relate to the specific products mentioned in the target intention, such as ""안전가드,"" ""콘센트 커버,"" or ""문손잡이 보호대."" It is too vague and does not help in finding the intended safety products."
MISMATCH,물기 닦는 거 말고 다른 방법 없어요?,흡수 매트 / 물기 제거 패드 구매,타올,"MISMATCH | The extracted keyword ""타올"" (towel) does not directly match the target intention of purchasing ""흡수 매트"" (absorbent mat) or ""물기 제거 패드"" (water removal pad). While a towel can be used for drying, it is not the same as the specific products mentioned in the intention."
MATCH,가방 안에서 이거저거 안 섞이게 하는 거 있나요?,파우치 / 가방 정리 인서트 구매,파우치,"MATCH | The extracted keyword ""파우치"" directly relates to the user's intention of finding a product that helps organize items in a bag, as a pouch is a common solution for keeping items separated and organized."
MATCH,여름에 쓰는 건데 겨울엔 안 쓰는 거요,계절용품(선풍기·쿨방석·모기용품) 탐색,여름용품,"MATCH | The extracted keyword ""여름용품"" (summer products) aligns well with the target intention of exploring seasonal items used in summer, such as fans, cool cushions, and mosquito products. It captures the essence of the user's inquiry about items specifically used in summer and not in winter."
MISMATCH,이거 좀 더 편하게 쓰는 방법 없어요?,보조도구 / 인체공학 소품 추천,편리한 사용법,"MISMATCH | The extracted keyword ""편리한 사용법"" (convenient usage method) focuses on how to use something more easily, rather than directly seeking recommendations for ergonomic tools or accessories, which is the target intention."
MATCH,집에 있으면 은근히 유용한 거 뭐 있어요?,생활 편의용품 추천,유용한 물건,"MATCH | The extracted keyword ""유용한 물건"" (useful items) aligns well with the target intention of recommending ""생활 편의용품"" (lifestyle convenience products), as it encompasses a broad range of useful household items that could be considered convenient."
MISMATCH,이거 자꾸 떨어지는데 고정하는 거 있나요?,양면테이프 / 고정 패드 구매,고정기,"MISMATCH | The extracted keyword ""고정기"" (which translates to ""fixing device"" or ""fastener"") is too vague and does not specifically relate to the intention of purchasing ""양면테이프"" (double-sided tape) or ""고정 패드"" (fixing pads). The user is looking for specific products to secure something that keeps falling, and ""고정기"" does not directly lead to those products."
