Q: 집에서 쓰는 건데 뭐 하나 없을까요? -> Keyword: 생활용품 (Latency: 0.897s, Tokens: [P:118, C:4, T:122])
Q: 이거 좀 안 흘리게 하는 거 있어요? -> Keyword: 용기 (Latency: 0.734s, Tokens: [P:119, C:3, T:122])
Q: 그… 여기 어디에 그런 거 있죠? -> Keyword: 물건 (Latency: 0.673s, Tokens: [P:117, C:3, T:120])
Q: 자취하면 하나쯤 있어야 하는 거 뭐 있어요? -> Keyword: 자취용품 (Latency: 0.670s, Tokens: [P:119, C:5, T:124])
Q: 이거 계속 넘어져서 짜증 나는데 붙이는 거 없나요? -> Keyword: 미끄럼 방지 패드 (Latency: 0.675s, Tokens: [P:124, C:8, T:132])
Q: 애가 자꾸 만져서 위험한데 막는 거 있어요? -> Keyword: 안전덮개 (Latency: 0.666s, Tokens: [P:123, C:5, T:128])
Q: 물기 닦는 거 말고 다른 방법 없어요? -> Keyword: 물기 닦는 거 (Latency: 0.684s, Tokens: [P:120, C:7, T:127])
Q: 가방 안에서 이거저거 안 섞이게 하는 거 있나요? -> Keyword: 가방정리함 (Latency: 0.766s, Tokens: [P:125, C:6, T:131])
Q: 여름에 쓰는 건데 겨울엔 안 쓰는 거요 -> Keyword: 선풍기 (Latency: 0.788s, Tokens: [P:121, C:4, T:125])
Q: 이거 좀 더 편하게 쓰는 방법 없어요? -> Keyword: 방법 (Latency: 0.771s, Tokens: [P:119, C:2, T:121])
Q: 집에 있으면 은근히 유용한 거 뭐 있어요? -> Keyword: 생활용품 (Latency: 0.679s, Tokens: [P:120, C:4, T:124])
Q: 이거 자꾸 떨어지는데 고정하는 거 있나요? -> Keyword: 고정하는 거 (Latency: 0.763s, Tokens: [P:122, C:5, T:127])
Q: 씻고 나와서 바닥 안 미끄럽게 하는 거 있어요? -> Keyword: 미끄럼 방지 매트 (Latency: 0.772s, Tokens: [P:123, C:8, T:131])
Q: 차 안에 두면 좋은 거 뭐 있어요? -> Keyword: 방향제 (Latency: 0.670s, Tokens: [P:117, C:4, T:121])
Q: 여행 갈 때 하나쯤 사두면 좋은 거 있어요? -> Keyword: 여행용품 (Latency: 0.676s, Tokens: [P:120, C:4, T:124])
Q: 애 키우는 집에서 많이 사는 거 뭐에요? -> Keyword: 아기용품 (Latency: 0.654s, Tokens: [P:120, C:5, T:125])
Q: 이거 계속 젖는데 안 젖게 하는 거 있어요? -> Keyword: 우산 (Latency: 0.656s, Tokens: [P:122, C:3, T:125])
Q: 냄새 안 나게 하는 거 뭐 있어요? -> Keyword: 탈취제 (Latency: 0.798s, Tokens: [P:118, C:4, T:122])
Q: 이거 보관 좀 잘하는 방법 없어요? -> Keyword: 보관 (Latency: 0.602s, Tokens: [P:119, C:3, T:122])
Q: 가끔 필요할 때 쓰는 그런 거 있어요? -> Keyword: 테이프 (Latency: 0.776s, Tokens: [P:118, C:4, T:122])
Q: 정리 좀 쉽게 하는 거 뭐 없어요? -> Keyword: 정리함 (Latency: 0.687s, Tokens: [P:118, C:4, T:122])
Q: 이거 자꾸 엉키는데 풀기 귀찮아서요 -> Keyword: 머리끈 (Latency: 0.786s, Tokens: [P:123, C:4, T:127])
Q: 붙여두면 좋은 거 뭐 있어요? -> Keyword: 스티커 (Latency: 0.695s, Tokens: [P:117, C:3, T:120])
Q: 열 받지 않게 하는 거 있어요? -> Keyword: 발열 억제제 (Latency: 0.831s, Tokens: [P:117, C:7, T:124])
Q: 아이가 넘어질까 봐 깔아두는 거 있어요? -> Keyword: 매트 (Latency: 0.678s, Tokens: [P:121, C:3, T:124])
Q: 문 닫힐 때 소리 안 나게 하는 거 있나요? -> Keyword: 문닫힘 방지 쿠션 (Latency: 0.680s, Tokens: [P:123, C:8, T:131])
Q: 바람 막는 거 같은 거 있어요? -> Keyword: 바람막이 (Latency: 0.675s, Tokens: [P:117, C:5, T:122])
Q: 비 오는 날 쓰는 건데 이름을 모르겠어요 -> Keyword: 우산 (Latency: 0.585s, Tokens: [P:119, C:3, T:122])
Q: 이거 너무 미끄러워서요 -> Keyword: 미끄럼방지패드 (Latency: 0.678s, Tokens: [P:117, C:8, T:125])
Q: 하나로 여러 번 쓰는 거 뭐 있어요? -> Keyword: 다회용품 (Latency: 0.678s, Tokens: [P:117, C:5, T:122])
Q: 집에 놓아두면 계속 쓰게 되는 거 있어요? -> Keyword: 생활용품 (Latency: 0.661s, Tokens: [P:121, C:4, T:125])
Q: 이거 자꾸 흘러서 짜증 나요 -> Keyword: 용기 (Latency: 0.762s, Tokens: [P:120, C:3, T:123])
Q: 가방 안에서 안 부딪히게 하는 거 있나요? -> Keyword: 파우치 (Latency: 0.695s, Tokens: [P:122, C:4, T:126])
Q: 이거 너무 작아서 자꾸 잃어버려요 -> Keyword: 분실방지용품 (Latency: 0.671s, Tokens: [P:122, C:7, T:129])
Q: 어디다 두면 안 보이게 숨겨둘 수 있어요? -> Keyword: 숨김 용품 (Latency: 0.670s, Tokens: [P:122, C:5, T:127])
Q: 이거 정리 안 하면 집이 더러워 보여서요 -> Keyword: 정리함 (Latency: 0.674s, Tokens: [P:122, C:4, T:126])
Q: 애 손 안 닿게 하는 거 있어요? -> Keyword: 안전 잠금 장치 (Latency: 0.746s, Tokens: [P:118, C:7, T:125])
Q: 물기 많은 데 써도 되는 거 있어요? -> Keyword: 물기 제거제 (Latency: 0.795s, Tokens: [P:118, C:5, T:123])
Q: 이거 좀 덜 귀찮게 하는 방법 없어요? -> Keyword: 정리함 (Latency: 0.600s, Tokens: [P:121, C:4, T:125])
Q: 집에서 많이 쓰는 그거 있잖아요 -> Keyword: 생활용품 (Latency: 0.752s, Tokens: [P:116, C:4, T:120])
Q: 자주 안 쓰는데 없으면 불편한 거 뭐에요? -> Keyword: 다이어리 (Latency: 0.810s, Tokens: [P:121, C:4, T:125])
Q: 이거 들고 다니기 편하게 하는 거 있어요? -> Keyword: 가방걸이 (Latency: 0.586s, Tokens: [P:120, C:5, T:125])
Q: 더 깔끔하게 보이게 하는 거 있어요? -> Keyword: 정리용품 (Latency: 0.828s, Tokens: [P:118, C:5, T:123])
Q: 냄새 오래 잡아주는 거 있어요? -> Keyword: 방향제 (Latency: 0.639s, Tokens: [P:116, C:4, T:120])
Q: 붙여놨다가 떼도 자국 안 남는 거 있어요? -> Keyword: 테이프 (Latency: 0.719s, Tokens: [P:123, C:4, T:127])
Q: 여름용이랑 겨울용 다른 거 있어요? -> Keyword: 계절용품 (Latency: 0.632s, Tokens: [P:118, C:5, T:123])
