Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 방취망 (Latency: 1.155s, Tokens: [P:1104, C:24, T:1128])
Q: 붙였다 떼도 자국 안 남는 거 뭐 있어요? -> Keyword: 꼭꼬핀 (Latency: 0.952s, Tokens: [P:1105, C:30, T:1135])
Q: 열 받아도 안 녹는 거 있어요? -> Keyword: 냄비받침 (Latency: 1.055s, Tokens: [P:1100, C:47, T:1147])
Q: 떨어뜨려도 잘 안 깨지는 거 있나요? -> Keyword: 멜라민식기 (Latency: 0.889s, Tokens: [P:1104, C:32, T:1136])
Q: 미끄러운 데 붙이면 안 미끄럽게 되는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 0.943s, Tokens: [P:1107, C:29, T:1136])
Q: 얇은데 튼튼한 거 있어요? -> Keyword: 파일박스 (Latency: 0.871s, Tokens: [P:1101, C:32, T:1133])
Q: 손에 안 미끄러지고 잘 잡히는 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 0.857s, Tokens: [P:1105, C:30, T:1135])
Q: 가볍고 접히는 거 뭐 있어요? -> Keyword: 접이식바구니 (Latency: 0.955s, Tokens: [P:1101, C:31, T:1132])
Q: 물 안 새는 거 있어요? -> Keyword: 방수테이프 (Latency: 1.523s, Tokens: [P:1098, C:93, T:1191])
Q: 냄새 오래 잡아주는 거 있어요? -> Keyword: 배수구클리너 (Latency: 0.972s, Tokens: [P:1099, C:27, T:1126])
Q: 세척하기 쉬운 거 뭐 있어요? -> Keyword: 수세미 (Latency: 1.079s, Tokens: [P:1100, C:32, T:1132])
Q: 금방 마르는 재질 있어요? -> Keyword: 흡수타월 (Latency: 1.114s, Tokens: [P:1099, C:46, T:1145])
Q: 소리 덜 나게 하는 거 있어요? -> Keyword: 의자발커버 (Latency: 0.853s, Tokens: [P:1101, C:34, T:1135])
Q: 애가 물어도 괜찮은 재질 있어요? -> Keyword: 유아칫솔 (Latency: 1.713s, Tokens: [P:1101, C:85, T:1186])
Q: 열기 차단해주는 거 있어요? -> Keyword: 문풍지 (Latency: 0.858s, Tokens: [P:1100, C:24, T:1124])
Q: 잘 안 엉키게 하는 거 있어요? -> Keyword: 케이블타이 (Latency: 0.770s, Tokens: [P:1101, C:25, T:1126])
Q: 바닥 긁힘 막아주는 거 있어요? -> Keyword: 의자발커버 (Latency: 0.850s, Tokens: [P:1102, C:24, T:1126])
