Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 탈취제 (Latency: 1.382s, Tokens: [P:3164, C:39, T:3203])
Q: 붙였다 떼도 자국 안 남는 거 뭐 있어요? -> Keyword: 몬스터클리어젤 (Latency: 1.467s, Tokens: [P:3164, C:59, T:3223])
Q: 열 받아도 안 녹는 거 있어요? -> Keyword: 내열유리용기 (Latency: 1.967s, Tokens: [P:3160, C:68, T:3228])
Q: 떨어뜨려도 잘 안 깨지는 거 있나요? -> Keyword: 멜라민식기 (Latency: 0.911s, Tokens: [P:3162, C:27, T:3189])
Q: 미끄러운 데 붙이면 안 미끄럽게 되는 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 0.962s, Tokens: [P:3165, C:30, T:3195])
Q: 얇은데 튼튼한 거 있어요? -> Keyword: 수납정리함 (Latency: 1.878s, Tokens: [P:3161, C:78, T:3239])
Q: 손에 안 미끄러지고 잘 잡히는 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 0.990s, Tokens: [P:3164, C:30, T:3194])
Q: 가볍고 접히는 거 뭐 있어요? -> Keyword: 접이식가방 (Latency: 1.183s, Tokens: [P:3161, C:52, T:3213])
Q: 물 안 새는 거 있어요? -> Keyword: 방수팩 (Latency: 0.969s, Tokens: [P:3157, C:31, T:3188])
Q: 냄새 오래 잡아주는 거 있어요? -> Keyword: 탈취제 (Latency: 0.910s, Tokens: [P:3160, C:25, T:3185])
Q: 세척하기 쉬운 거 뭐 있어요? -> Keyword: 청소포 (Latency: 1.648s, Tokens: [P:3159, C:53, T:3212])
Q: 금방 마르는 재질 있어요? -> Keyword: 극세사타월 (Latency: 1.083s, Tokens: [P:3158, C:35, T:3193])
Q: 소리 덜 나게 하는 거 있어요? -> Keyword: 소음방지패드 (Latency: 0.813s, Tokens: [P:3160, C:27, T:3187])
Q: 애가 물어도 괜찮은 재질 있어요? -> Keyword: 유아식기 (Latency: 1.024s, Tokens: [P:3163, C:34, T:3197])
Q: 열기 차단해주는 거 있어요? -> Keyword: 냄비받침 (Latency: 1.217s, Tokens: [P:3159, C:35, T:3194])
Q: 잘 안 엉키게 하는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 1.105s, Tokens: [P:3160, C:31, T:3191])
Q: 바닥 긁힘 막아주는 거 있어요? -> Keyword: 의자발커버 (Latency: 0.714s, Tokens: [P:3161, C:27, T:3188])
Q: 손 안 더러워지게 쓰는 거 있어요? -> Keyword: 청소집게 (Latency: 1.125s, Tokens: [P:3162, C:32, T:3194])
Q: 여름에 시원한 촉감 나는 거 있어요? -> Keyword: 쿨링타올 (Latency: 2.550s, Tokens: [P:3163, C:139, T:3302])
Q: 겨울에 따뜻한 촉감 나는 거 있어요? -> Keyword: 담요 (Latency: 1.402s, Tokens: [P:3163, C:67, T:3230])
Q: 물 흡수 잘 되는 거 있어요? -> Keyword: 극세사타월 (Latency: 0.773s, Tokens: [P:3159, C:27, T:3186])
Q: 물 튀는 거 막아주는 거 있어요? -> Keyword: 방수테이프 (Latency: 1.013s, Tokens: [P:3161, C:34, T:3195])
Q: 눌러도 안 찌그러지는 거 있어요? -> Keyword: 멜라민식기 (Latency: 1.073s, Tokens: [P:3162, C:27, T:3189])
Q: 공간 적게 차지하는 거 있어요? -> Keyword: 접이식 수납함 (Latency: 0.946s, Tokens: [P:3160, C:34, T:3194])
Q: 고정 잘 되는 거 있어요? -> Keyword: 흡착후크 (Latency: 1.577s, Tokens: [P:3157, C:75, T:3232])
Q: 한 손으로 쓰기 편한 거 있어요? -> Keyword: 자동디스펜서 (Latency: 1.272s, Tokens: [P:3160, C:38, T:3198])
Q: 뚜껑이 잘 안 열리는 거 있어요? -> Keyword: 뚜껑따개 (Latency: 1.331s, Tokens: [P:3162, C:35, T:3197])
Q: 아이가 혼자 써도 안전한 거 있어요? -> Keyword: 유아식기 (Latency: 0.895s, Tokens: [P:3162, C:35, T:3197])
Q: 투명해서 안에 보이는 거 있어요? -> Keyword: 투명정리함 (Latency: 1.109s, Tokens: [P:3160, C:28, T:3188])
Q: 걸어두면 공간 아끼는 거 있어요? -> Keyword: 흡착후크 (Latency: 0.999s, Tokens: [P:3161, C:31, T:3192])
Q: 자석으로 붙는 거 있어요? -> Keyword: 자석후크 (Latency: 1.228s, Tokens: [P:3158, C:60, T:3218])
Q: 물에 담가도 되는 거 있어요? -> Keyword: 방수파우치 (Latency: 1.637s, Tokens: [P:3159, C:57, T:3216])
Q: 기름 안 튀게 하는 거 있어요? -> Keyword: 기름받이 (Latency: 1.165s, Tokens: [P:3160, C:43, T:3203])
Q: 손잡이 안 뜨거워지는 거 있어요? -> Keyword: 실리콘손잡이 (Latency: 1.412s, Tokens: [P:3162, C:37, T:3199])
Q: 냄새 배는 거 막는 거 있어요? -> Keyword: 탈취제 (Latency: 0.781s, Tokens: [P:3161, C:23, T:3184])
Q: 부드러운 촉감 나는 거 있어요? -> Keyword: 수납정리함 (Latency: 2.549s, Tokens: [P:3160, C:138, T:3298])
Q: 튀어나온 데 보호하는 거 있어요? -> Keyword: 모서리보호대 (Latency: 0.938s, Tokens: [P:3159, C:38, T:3197])
Q: 자주 안 더러워지는 거 있어요? -> Keyword: 방오매트 (Latency: 1.421s, Tokens: [P:3160, C:69, T:3229])
Q: 쉽게 찢어지지 않는 거 있어요? -> Keyword: 멜라민식기 (Latency: 1.262s, Tokens: [P:3161, C:50, T:3211])
Q: 끈적임 없이 고정되는 거 있어요? -> Keyword: 몬스터클리어젤 (Latency: 1.239s, Tokens: [P:3161, C:61, T:3222])
Q: 접착 말고 다른 방식으로 고정되는 거 있어요? -> Keyword: 흡착후크 (Latency: 1.000s, Tokens: [P:3163, C:34, T:3197])
Q: 손에 힘 안 줘도 되는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 0.897s, Tokens: [P:3161, C:37, T:3198])
Q: 바람 막아주는 거 있어요? -> Keyword: 방풍막 (Latency: 0.729s, Tokens: [P:3158, C:27, T:3185])
Q: 햇빛 가려주는 거 있어요? -> Keyword: 가림막커튼 (Latency: 1.302s, Tokens: [P:3159, C:53, T:3212])
Q: 습기 줄여주는 거 있어요? -> Keyword: 제습제 (Latency: 0.734s, Tokens: [P:3158, C:23, T:3181])
Q: 냄새 섞이지 않게 하는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 1.004s, Tokens: [P:3162, C:34, T:3196])
Q: 쉽게 들고 다닐 수 있는 거 있어요? -> Keyword: 이동식 수납함 (Latency: 0.817s, Tokens: [P:3162, C:30, T:3192])
