Q: 집에서 쓰는 건데 뭐 하나 없을까요? -> Keyword: 가정용품 (Latency: 2.042s, Tokens: [P:131, C:4, T:135])
Q: 이거 좀 안 흘리게 하는 거 있어요? -> Keyword: 방수 제품 (Latency: 0.506s, Tokens: [P:132, C:3, T:135])
Q: 그… 여기 어디에 그런 거 있죠? -> Keyword: 제품 (Latency: 1.374s, Tokens: [P:129, C:1, T:130])
Q: 자취하면 하나쯤 있어야 하는 거 뭐 있어요? -> Keyword: 주방용품 (Latency: 0.605s, Tokens: [P:134, C:4, T:138])
Q: 이거 계속 넘어져서 짜증 나는데 붙이는 거 없나요? -> Keyword: 붙이는 것 (Latency: 1.481s, Tokens: [P:136, C:3, T:139])
Q: 애가 자꾸 만져서 위험한데 막는 거 있어요? -> Keyword: 막이 (Latency: 0.647s, Tokens: [P:135, C:2, T:137])
Q: 물기 닦는 거 말고 다른 방법 없어요? -> Keyword: 타올 (Latency: 0.495s, Tokens: [P:132, C:2, T:134])
Q: 가방 안에서 이거저거 안 섞이게 하는 거 있나요? -> Keyword: 파우치 (Latency: 1.353s, Tokens: [P:137, C:3, T:140])
Q: 여름에 쓰는 건데 겨울엔 안 쓰는 거요 -> Keyword: 여름용품 (Latency: 0.462s, Tokens: [P:135, C:4, T:139])
Q: 이거 좀 더 편하게 쓰는 방법 없어요? -> Keyword: 편리한 사용법 (Latency: 1.239s, Tokens: [P:131, C:5, T:136])
Q: 집에 있으면 은근히 유용한 거 뭐 있어요? -> Keyword: 유용한 물건 (Latency: 1.207s, Tokens: [P:134, C:5, T:139])
Q: 이거 자꾸 떨어지는데 고정하는 거 있나요? -> Keyword: 고정기 (Latency: 0.483s, Tokens: [P:133, C:3, T:136])
Q: 씻고 나와서 바닥 안 미끄럽게 하는 거 있어요? -> Keyword: 바닥 미끄럼 방지제 (Latency: 0.510s, Tokens: [P:137, C:8, T:145])
Q: 차 안에 두면 좋은 거 뭐 있어요? -> Keyword: 차량용 용품 (Latency: 0.548s, Tokens: [P:130, C:5, T:135])
Q: 여행 갈 때 하나쯤 사두면 좋은 거 있어요? -> Keyword: 여행용품 (Latency: 0.495s, Tokens: [P:135, C:4, T:139])
Q: 애 키우는 집에서 많이 사는 거 뭐에요? -> Keyword: 애완용품 (Latency: 0.616s, Tokens: [P:133, C:4, T:137])
Q: 이거 계속 젖는데 안 젖게 하는 거 있어요? -> Keyword: 방수 제품 (Latency: 0.634s, Tokens: [P:134, C:3, T:137])
Q: 냄새 안 나게 하는 거 뭐 있어요? -> Keyword: 탈취제 (Latency: 0.576s, Tokens: [P:131, C:3, T:134])
Q: 이거 보관 좀 잘하는 방법 없어요? -> Keyword: 보관함 (Latency: 0.582s, Tokens: [P:130, C:3, T:133])
Q: 가끔 필요할 때 쓰는 그런 거 있어요? -> Keyword: 용품 (Latency: 1.453s, Tokens: [P:131, C:2, T:133])
Q: 정리 좀 쉽게 하는 거 뭐 없어요? -> Keyword: 정리함 (Latency: 0.783s, Tokens: [P:129, C:3, T:132])
Q: 이거 자꾸 엉키는데 풀기 귀찮아서요 -> Keyword: 풀기 (Latency: 0.505s, Tokens: [P:134, C:2, T:136])
Q: 붙여두면 좋은 거 뭐 있어요? -> Keyword: 붙여두면 좋은 것 (Latency: 0.515s, Tokens: [P:129, C:6, T:135])
Q: 열 받지 않게 하는 거 있어요? -> Keyword: 열 받지 않게 하는 제품 (Latency: 0.823s, Tokens: [P:129, C:7, T:136])
Q: 아이가 넘어질까 봐 깔아두는 거 있어요? -> Keyword: 매트 (Latency: 0.534s, Tokens: [P:135, C:2, T:137])
Q: 문 닫힐 때 소리 안 나게 하는 거 있나요? -> Keyword: 방음패드 (Latency: 0.559s, Tokens: [P:135, C:4, T:139])
Q: 바람 막는 거 같은 거 있어요? -> Keyword: 바람막이 (Latency: 1.755s, Tokens: [P:129, C:4, T:133])
Q: 비 오는 날 쓰는 건데 이름을 모르겠어요 -> Keyword: 우산 (Latency: 0.478s, Tokens: [P:132, C:2, T:134])
Q: 이거 너무 미끄러워서요 -> Keyword: 미끄럼 방지 매트 (Latency: 0.605s, Tokens: [P:129, C:7, T:136])
Q: 하나로 여러 번 쓰는 거 뭐 있어요? -> Keyword: 멀티툴 (Latency: 0.533s, Tokens: [P:131, C:4, T:135])
Q: 집에 놓아두면 계속 쓰게 되는 거 있어요? -> Keyword: 소품 (Latency: 0.519s, Tokens: [P:133, C:2, T:135])
Q: 이거 자꾸 흘러서 짜증 나요 -> Keyword: 제품 (Latency: 0.672s, Tokens: [P:133, C:1, T:134])
Q: 가방 안에서 안 부딪히게 하는 거 있나요? -> Keyword: 파우치 (Latency: 0.459s, Tokens: [P:134, C:3, T:137])
Q: 이거 너무 작아서 자꾸 잃어버려요 -> Keyword: 작은 물건 (Latency: 0.549s, Tokens: [P:133, C:4, T:137])
Q: 어디다 두면 안 보이게 숨겨둘 수 있어요? -> Keyword: 숨김용품 (Latency: 0.466s, Tokens: [P:135, C:4, T:139])
Q: 이거 정리 안 하면 집이 더러워 보여서요 -> Keyword: 정리함 (Latency: 0.504s, Tokens: [P:134, C:3, T:137])
Q: 애 손 안 닿게 하는 거 있어요? -> Keyword: 애 손 안 닿게 하는 거 (Latency: 0.545s, Tokens: [P:130, C:8, T:138])
