Q: 집에서 쓰는 건데 뭐 하나 없을까요? -> Keyword: 자동디스펜서 (Latency: 2.439s, Tokens: [P:3161, C:76, T:3237])
Q: 이거 좀 안 흘리게 하는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 1.058s, Tokens: [P:3162, C:35, T:3197])
Q: 그… 여기 어디에 그런 거 있죠? -> Keyword: 수납정리함 (Latency: 4.594s, Tokens: [P:3159, C:148, T:3307])
Q: 자취하면 하나쯤 있어야 하는 거 뭐 있어요? -> Keyword: 생활용품 세트 (Latency: 5.171s, Tokens: [P:3164, C:39, T:3203])
Q: 이거 계속 넘어져서 짜증 나는데 붙이는 거 없나요? -> Keyword: 고무발커버 (Latency: 0.891s, Tokens: [P:3166, C:26, T:3192])
Q: 애가 자꾸 만져서 위험한데 막는 거 있어요? -> Keyword: 모서리보호대 (Latency: 1.181s, Tokens: [P:3165, C:39, T:3204])
Q: 물기 닦는 거 말고 다른 방법 없어요? -> Keyword: 규조토발매트 (Latency: 1.115s, Tokens: [P:3162, C:32, T:3194])
Q: 가방 안에서 이거저거 안 섞이게 하는 거 있나요? -> Keyword: 칸막이정리함 (Latency: 1.260s, Tokens: [P:3167, C:34, T:3201])
Q: 여름에 쓰는 건데 겨울엔 안 쓰는 거요 -> Keyword: 계절별 수납함 (Latency: 1.225s, Tokens: [P:3165, C:38, T:3203])
Q: 이거 좀 더 편하게 쓰는 방법 없어요? -> Keyword: 자동디스펜서 (Latency: 1.212s, Tokens: [P:3161, C:37, T:3198])
Q: 집에 있으면 은근히 유용한 거 뭐 있어요? -> Keyword: 생활용품 (Latency: 1.433s, Tokens: [P:3164, C:57, T:3221])
Q: 이거 자꾸 떨어지는데 고정하는 거 있나요? -> Keyword: 고정용 양면테이프 (Latency: 0.960s, Tokens: [P:3163, C:32, T:3195])
Q: 씻고 나와서 바닥 안 미끄럽게 하는 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 2.599s, Tokens: [P:3167, C:30, T:3197])
Q: 차 안에 두면 좋은 거 뭐 있어요? -> Keyword: 차량용 수납함 (Latency: 1.554s, Tokens: [P:3160, C:42, T:3202])
Q: 여행 갈 때 하나쯤 사두면 좋은 거 있어요? -> Keyword: 여행용 파우치 (Latency: 1.882s, Tokens: [P:3165, C:41, T:3206])
Q: 애 키우는 집에서 많이 사는 거 뭐에요? -> Keyword: 유아식기 (Latency: 4.278s, Tokens: [P:3163, C:63, T:3226])
Q: 이거 계속 젖는데 안 젖게 하는 거 있어요? -> Keyword: 방수팩 (Latency: 1.009s, Tokens: [P:3164, C:22, T:3186])
Q: 냄새 안 나게 하는 거 뭐 있어요? -> Keyword: 탈취제 (Latency: 1.135s, Tokens: [P:3161, C:23, T:3184])
Q: 이거 보관 좀 잘하는 방법 없어요? -> Keyword: 칸막이정리함 (Latency: 2.361s, Tokens: [P:3160, C:53, T:3213])
Q: 가끔 필요할 때 쓰는 그런 거 있어요? -> Keyword: 자동디스펜서 (Latency: 1.693s, Tokens: [P:3161, C:37, T:3198])
Q: 정리 좀 쉽게 하는 거 뭐 없어요? -> Keyword: 정리함 (Latency: 1.234s, Tokens: [P:3159, C:36, T:3195])
Q: 이거 자꾸 엉키는데 풀기 귀찮아서요 -> Keyword: 자동디스펜서 (Latency: 1.527s, Tokens: [P:3164, C:49, T:3213])
Q: 붙여두면 좋은 거 뭐 있어요? -> Keyword: 흡착후크 (Latency: 2.097s, Tokens: [P:3159, C:58, T:3217])
Q: 열 받지 않게 하는 거 있어요? -> Keyword: 실리콘손잡이 (Latency: 2.225s, Tokens: [P:3159, C:65, T:3224])
Q: 아이가 넘어질까 봐 깔아두는 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 1.284s, Tokens: [P:3165, C:35, T:3200])
Q: 문 닫힐 때 소리 안 나게 하는 거 있나요? -> Keyword: 소음방지패드 (Latency: 1.018s, Tokens: [P:3165, C:27, T:3192])
Q: 바람 막는 거 같은 거 있어요? -> Keyword: 방풍커튼 (Latency: 0.950s, Tokens: [P:3159, C:28, T:3187])
Q: 비 오는 날 쓰는 건데 이름을 모르겠어요 -> Keyword: 우비 (Latency: 2.374s, Tokens: [P:3162, C:83, T:3245])
Q: 이거 너무 미끄러워서요 -> Keyword: 미끄럼방지매트 (Latency: 1.219s, Tokens: [P:3159, C:30, T:3189])
Q: 하나로 여러 번 쓰는 거 뭐 있어요? -> Keyword: 다용도 수납함 (Latency: 1.141s, Tokens: [P:3161, C:37, T:3198])
Q: 집에 놓아두면 계속 쓰게 되는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 1.414s, Tokens: [P:3163, C:37, T:3200])
Q: 이거 자꾸 흘러서 짜증 나요 -> Keyword: 치약짜개 (Latency: 1.442s, Tokens: [P:3163, C:31, T:3194])
Q: 가방 안에서 안 부딪히게 하는 거 있나요? -> Keyword: 분할케이스 (Latency: 1.453s, Tokens: [P:3164, C:40, T:3204])
Q: 이거 너무 작아서 자꾸 잃어버려요 -> Keyword: 정리함 (Latency: 1.741s, Tokens: [P:3163, C:30, T:3193])
Q: 어디다 두면 안 보이게 숨겨둘 수 있어요? -> Keyword: 가림막커튼 (Latency: 0.866s, Tokens: [P:3165, C:26, T:3191])
Q: 이거 정리 안 하면 집이 더러워 보여서요 -> Keyword: 가림막커튼 (Latency: 1.222s, Tokens: [P:3164, C:28, T:3192])
Q: 애 손 안 닿게 하는 거 있어요? -> Keyword: 모서리보호대 (Latency: 1.556s, Tokens: [P:3160, C:42, T:3202])
Q: 물기 많은 데 써도 되는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 1.347s, Tokens: [P:3161, C:42, T:3203])
Q: 이거 좀 덜 귀찮게 하는 방법 없어요? -> Keyword: 자동디스펜서 (Latency: 1.455s, Tokens: [P:3162, C:36, T:3198])
Q: 집에서 많이 쓰는 그거 있잖아요 -> Keyword: 자동디스펜서 (Latency: 2.541s, Tokens: [P:3161, C:58, T:3219])
Q: 자주 안 쓰는데 없으면 불편한 거 뭐에요? -> Keyword: 자동디스펜서 (Latency: 1.642s, Tokens: [P:3164, C:44, T:3208])
Q: 이거 들고 다니기 편하게 하는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 1.672s, Tokens: [P:3163, C:41, T:3204])
Q: 더 깔끔하게 보이게 하는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 1.443s, Tokens: [P:3162, C:50, T:3212])
Q: 냄새 오래 잡아주는 거 있어요? -> Keyword: 탈취제 (Latency: 0.938s, Tokens: [P:3160, C:25, T:3185])
Q: 붙여놨다가 떼도 자국 안 남는 거 있어요? -> Keyword: 몬스터클리어젤 (Latency: 0.889s, Tokens: [P:3166, C:31, T:3197])
Q: 여름용이랑 겨울용 다른 거 있어요? -> Keyword: 계절용 패드 (Latency: 1.421s, Tokens: [P:3162, C:48, T:3210])
Q: 애들 있는 집에서 필수템 뭐에요? -> Keyword: 모서리보호대 (Latency: 1.272s, Tokens: [P:3161, C:53, T:3214])
Q: 집에서 은근히 스트레스 줄여주는 거 있어요? -> Keyword: 탈취제 (Latency: 1.788s, Tokens: [P:3163, C:74, T:3237])
Q: 이거 자꾸 굴러가요 -> Keyword: 미끄럼방지패드 (Latency: 1.060s, Tokens: [P:3159, C:39, T:3198])
Q: 어디에 놔야 안 걸리적거려요? -> Keyword: 수납정리함 (Latency: 2.140s, Tokens: [P:3163, C:85, T:3248])
Q: 이거 계속 더러워져서요 -> Keyword: 청소포 (Latency: 0.890s, Tokens: [P:3159, C:26, T:3185])
Q: 물 새는 거 막는 거 있어요? -> Keyword: 방수테이프 (Latency: 0.942s, Tokens: [P:3159, C:31, T:3190])
Q: 애가 물고 빨아도 괜찮은 거 있어요? -> Keyword: 유아식기 (Latency: 1.278s, Tokens: [P:3164, C:35, T:3199])
Q: 집에서 좀 고급져 보이게 하는 거 있어요? -> Keyword: 장식소품 (Latency: 1.033s, Tokens: [P:3163, C:39, T:3202])
Q: 이거 냄새 배는 거 막는 거 있어요? -> Keyword: 탈취제 (Latency: 0.893s, Tokens: [P:3163, C:23, T:3186])
Q: 눌러서 쓰는 거 말고 다른 거 있어요? -> Keyword: 자동디스펜서 (Latency: 1.042s, Tokens: [P:3163, C:37, T:3200])
Q: 이거 떨어뜨리면 안 깨지게 하는 거 있어요? -> Keyword: 멜라민식기 (Latency: 1.028s, Tokens: [P:3164, C:27, T:3191])
Q: 여기다 뭐 올려두는 거 있어요? -> Keyword: 수납정리함 (Latency: 0.915s, Tokens: [P:3161, C:34, T:3195])
Q: 집에서 쓸데없이 자주 찾게 되는 거 있어요? -> Keyword: 정리함 (Latency: 1.910s, Tokens: [P:3164, C:39, T:3203])
